time_s,cluster_id,skdc_node,members,reachable,avg_dist_m
332,0,1,6,1,200
332,1,2,6,1,250
332,2,3,6,1,300
334,0,1,6,1,200
334,1,2,6,1,250
334,2,3,6,1,300
336,0,1,6,1,200
336,1,2,6,1,250
336,2,3,6,1,300
338,0,1,6,1,200
338,1,2,6,1,250
338,2,3,6,1,300
340,0,1,6,1,200
340,1,2,6,1,250
340,2,3,6,1,300
342,0,1,6,1,200
342,1,2,6,1,250
342,2,3,6,1,300
344,0,1,6,1,200
344,1,2,6,1,250
344,2,3,6,1,300
346,0,1,6,1,200
346,1,2,6,1,250
346,2,3,6,1,300
348,0,1,6,1,200
348,1,2,6,1,250
348,2,3,6,1,300
350,0,1,6,1,200
350,1,2,6,1,250
350,2,3,6,1,300
352,0,1,6,1,200
352,1,2,6,1,250
352,2,3,6,1,300
354,0,1,6,1,200
354,1,2,6,1,250
354,2,3,6,1,300
356,0,1,6,1,200
356,1,2,6,1,250
356,2,3,6,1,300
358,0,1,6,1,200
358,1,2,6,1,250
358,2,3,6,1,300
360,0,1,6,1,200
360,1,2,6,1,250
360,2,3,6,1,300
362,0,1,6,1,200
362,1,2,6,1,250
362,2,3,6,1,300
364,0,1,6,1,200
364,1,2,6,1,250
364,2,3,6,1,300
366,0,1,6,1,200
366,1,2,6,1,250
366,2,3,6,1,300
368,0,1,6,1,200
368,1,2,6,1,250
368,2,3,6,1,300
370,0,1,6,1,200
370,1,2,6,1,250
370,2,3,6,1,300
372,0,1,6,1,200
372,1,2,6,1,250
372,2,3,6,1,300
374,0,1,6,1,200
374,1,2,6,1,250
374,2,3,6,1,300
376,0,1,6,1,200
376,1,2,6,1,250
376,2,3,6,1,300
378,0,1,6,1,200
378,1,2,6,1,250
378,2,3,6,1,300
380,0,1,6,1,200
380,1,2,6,1,250
380,2,3,6,1,300
382,0,1,6,1,200
382,1,2,6,1,250
382,2,3,6,1,300
384,0,1,6,1,200
384,1,2,6,1,250
384,2,3,6,1,300
386,0,1,6,1,200
386,1,2,6,1,250
386,2,3,6,1,300
388,0,1,6,1,200
388,1,2,6,1,250
388,2,3,6,1,300
390,0,1,6,1,200
390,1,2,6,1,250
390,2,3,6,1,300
392,0,1,6,1,200
392,1,2,6,1,250
392,2,3,6,1,300
394,0,1,6,1,200
394,1,2,6,1,250
394,2,3,6,1,300
396,0,1,6,1,200
396,1,2,6,1,250
396,2,3,6,1,300
398,0,1,6,1,200
398,1,2,6,1,250
398,2,3,6,1,300
400,0,1,6,1,200
400,1,2,6,1,250
400,2,3,6,1,300
402,0,1,6,1,200
402,1,2,6,1,250
402,2,3,6,1,300
404,0,1,6,1,200
404,1,2,6,1,250
404,2,3,6,1,300
406,0,1,6,1,200
406,1,2,6,1,250
406,2,3,6,1,300
408,0,1,6,1,200
408,1,2,6,1,250
408,2,3,6,1,300
410,0,1,6,1,200
410,1,2,6,1,250
410,2,3,6,1,300
412,0,1,6,1,200
412,1,2,6,1,250
412,2,3,6,1,300
414,0,1,6,1,200
414,1,2,6,1,250
414,2,3,6,1,300
416,0,1,6,1,200
416,1,2,6,1,250
416,2,3,6,1,300
418,0,1,6,1,200
418,1,2,6,1,250
418,2,3,6,1,300
420,0,1,6,1,200
420,1,2,6,1,250
420,2,3,6,1,300
422,0,1,6,1,200
422,1,2,6,1,250
422,2,3,6,1,300
424,0,1,6,1,200
424,1,2,6,1,250
424,2,3,6,1,300
426,0,1,6,1,200
426,1,2,6,1,250
426,2,3,6,1,300
428,0,1,6,1,200
428,1,2,6,1,250
428,2,3,6,1,300
430,0,1,6,1,200
430,1,2,6,1,250
430,2,3,6,1,300
432,0,1,6,1,200
432,1,2,6,1,250
432,2,3,6,1,300
434,0,1,6,1,200
434,1,2,6,1,250
434,2,3,6,1,300
436,0,1,6,1,200
436,1,2,6,1,250
436,2,3,6,1,300
438,0,1,6,1,200
438,1,2,6,1,250
438,2,3,6,1,300
440,0,1,6,1,200
440,1,2,6,1,250
440,2,3,6,1,300
442,0,1,6,1,200
442,1,2,6,1,250
442,2,3,6,1,300
444,0,1,6,1,200
444,1,2,6,1,250
444,2,3,6,1,300
446,0,1,6,1,200
446,1,2,6,1,250
446,2,3,6,1,300
448,0,1,6,1,200
448,1,2,6,1,250
448,2,3,6,1,300
450,0,1,6,1,200
450,1,2,6,1,250
450,2,3,6,1,300
452,0,1,6,1,200
452,1,2,6,1,250
452,2,3,6,1,300
454,0,1,6,1,200
454,1,2,6,1,250
454,2,3,6,1,300
456,0,1,6,1,200
456,1,2,6,1,250
456,2,3,6,1,300
458,0,1,6,1,200
458,1,2,6,1,250
458,2,3,6,1,300
460,0,1,6,1,200
460,1,2,6,1,250
460,2,3,6,1,300
462,0,1,6,1,200
462,1,2,6,1,250
462,2,3,6,1,300
464,0,1,6,1,200
464,1,2,6,1,250
464,2,3,6,1,300
466,0,1,6,1,200
466,1,2,6,1,250
466,2,3,6,1,300
468,0,1,6,1,200
468,1,2,6,1,250
468,2,3,6,1,300
470,0,1,6,1,200
470,1,2,6,1,250
470,2,3,6,1,300
472,0,1,6,1,200
472,1,2,6,1,250
472,2,3,6,1,300
474,0,1,6,1,200
474,1,2,6,1,250
474,2,3,6,1,300
476,0,1,6,1,200
476,1,2,6,1,250
476,2,3,6,1,300
478,0,1,6,1,200
478,1,2,6,1,250
478,2,3,6,1,300
480,0,1,6,1,200
480,1,2,6,1,250
480,2,3,6,1,300
482,0,1,6,1,200
482,1,2,6,1,250
482,2,3,6,1,300
484,0,1,6,1,200
484,1,2,6,1,250
484,2,3,6,1,300
486,0,1,6,1,200
486,1,2,6,1,250
486,2,3,6,1,300
488,0,1,6,1,200
488,1,2,6,1,250
488,2,3,6,1,300
490,0,1,6,1,200
490,1,2,6,1,250
490,2,3,6,1,300
492,0,1,6,1,200
492,1,2,6,1,250
492,2,3,6,1,300
494,0,1,6,1,200
494,1,2,6,1,250
494,2,3,6,1,300
496,0,1,6,1,200
496,1,2,6,1,250
496,2,3,6,1,300
498,0,1,6,1,200
498,1,2,6,1,250
498,2,3,6,1,300
500,0,1,6,1,200
500,1,2,6,1,250
500,2,3,6,1,300
502,0,1,6,1,200
502,1,2,6,1,250
