time_s,pdr,throughput_kbps,avg_delay_ms,sinr_db,total_rekeys,survivability,connectivity,overhead_ratio
182,0.566667,0.191297,0.05,20.3625,38,1,0,1
183,0.566667,0.190251,0.05,20.3625,38,1,0,1
184,0.566667,0.189217,0.05,20.3487,38,1,0,1
185,0.566667,0.188195,0.05,20.3487,38,1,0,1
186,0.566667,0.187183,0.05,20.3313,38,1,0,1
187,0.566667,0.186182,0.05,20.3313,38,1,0,1
188,0.566667,0.185191,0.05,20.3107,38,1,0,1
189,0.566667,0.184212,0.05,20.3107,38,1,0,1
190,0.566667,0.183242,0.05,20.2869,38,1,0,1
191,0.566667,0.182283,0.05,20.2869,38,1,0,1
192,0.580645,0.192,0.05,20.2603,39,1,0,1
193,0.5625,0.191005,0.05,20.2603,40,1,0,1
194,0.5625,0.190021,0.05,20.2311,40,1,0,1
195,0.5625,0.189046,0.05,20.2311,40,1,0,1
196,0.5625,0.188082,0.05,20.1995,40,1,0,1
197,0.5625,0.187127,0.05,20.1995,40,1,0,1
198,0.5625,0.186182,0.05,20.166,40,1,0,1
199,0.5625,0.185246,0.05,20.166,40,1,0,1
200,0.5625,0.18432,0.05,20.1308,40,1,0,1
201,0.5625,0.183403,0.05,20.1308,40,1,0,1
202,0.5625,0.182495,0.05,20.0944,40,1,0,1
203,0.575758,0.191685,0.05,20.0944,41,1,0,1
204,0.575758,0.190745,0.05,20.0569,41,1,0,1
205,0.575758,0.189815,0.05,20.0569,41,1,0,1
206,0.575758,0.188893,0.05,20.0189,41,1,0,1
207,0.558824,0.187981,0.05,20.0189,42,1,0,1
208,0.558824,0.187077,0.05,19.9807,42,1,0,1
209,0.558824,0.186182,0.05,19.9807,42,1,0,1
210,0.558824,0.185295,0.05,19.9427,42,1,0,1
211,0.558824,0.184417,0.05,19.9427,42,1,0,1
212,0.558824,0.183547,0.05,19.9053,42,1,0,1
213,0.558824,0.182685,0.05,19.9053,42,1,0,1
214,0.571429,0.191402,0.05,19.8688,43,1,0,1
215,0.571429,0.190512,0.05,19.8688,43,1,0,1
216,0.571429,0.18963,0.05,19.8337,43,1,0,1
217,0.571429,0.188756,0.05,19.8337,43,1,0,1
218,0.571429,0.18789,0.05,19.8002,43,1,0,1
219,0.571429,0.187032,0.05,19.8002,43,1,0,1
220,0.571429,0.186182,0.05,19.7687,43,1,0,1
221,0.571429,0.185339,0.05,19.7687,43,1,0,1
222,0.555556,0.184505,0.05,19.7395,44,1,0,1
223,0.555556,0.183677,0.05,19.7395,44,1,0,1
224,0.555556,0.182857,0.05,19.7129,44,1,0,1
225,0.567568,0.191147,0.05,19.7129,45,1,0,1
226,0.567568,0.190301,0.05,19.6891,45,1,0,1
227,0.567568,0.189463,0.05,19.6891,45,1,0,1
228,0.567568,0.188632,0.05,19.6685,45,1,0,1
229,0.567568,0.187808,0.05,19.6685,45,1,0,1
230,0.567568,0.186991,0.05,19.6512,45,1,0,1
231,0.567568,0.186182,0.05,19.6512,45,1,0,1
232,0.567568,0.185379,0.05,19.6374,45,1,0,1
233,0.567568,0.184584,0.05,19.6374,45,1,0,1
234,0.567568,0.183795,0.05,19.6272,45,1,0,1
235,0.567568,0.183013,0.05,19.6272,45,1,0,1
236,0.564103,0.190915,0.05,19.6207,47,1,0,1
237,0.564103,0.19011,0.05,19.6207,47,1,0,1
238,0.564103,0.189311,0.05,19.618,47,1,0,1
239,0.564103,0.188519,0.05,19.618,47,1,0,1
240,0.564103,0.187733,0.05,19.6192,47,1,0,1
241,0.564103,0.186954,0.05,19.6192,47,1,0,1
242,0.564103,0.186182,0.05,19.6241,47,1,0,1
243,0.564103,0.185416,0.05,19.6241,47,1,0,1
244,0.564103,0.184656,0.05,19.6328,47,1,0,1
245,0.564103,0.183902,0.05,19.6328,47,1,0,1
246,0.564103,0.183154,0.05,19.6452,47,1,0,1
247,0.575,0.190704,0.05,19.6452,48,1,0,1
248,0.575,0.189935,0.05,19.6611,48,1,0,1
249,0.575,0.189173,0.05,19.6611,48,1,0,1
250,0.560976,0.188416,0.05,19.6804,49,1,0,1
251,0.560976,0.187665,0.05,19.6804,49,1,0,1
252,0.560976,0.186921,0.05,19.7028,49,1,0,1
253,0.560976,0.186182,0.05,19.7028,49,1,0,1
254,0.560976,0.185449,0.05,19.7283,49,1,0,1
255,0.560976,0.184722,0.05,19.7283,49,1,0,1
256,0.560976,0.184,0.05,19.7565,49,1,0,1
257,0.560976,0.183284,0.05,19.7565,49,1,0,1
258,0.571429,0.190512,0.05,19.7871,50,1,0,1
259,0.571429,0.189776,0.05,19.7871,50,1,0,1
260,0.571429,0.189046,0.05,19.8198,50,1,0,1
261,0.571429,0.188322,0.05,19.8198,50,1,0,1
262,0.571429,0.187603,0.05,19.8543,50,1,0,1
263,0.571429,0.18689,0.05,19.8543,50,1,0,1
264,0.55814,0.186182,0.05,19.8903,51,1,0,1
265,0.55814,0.185479,0.05,19.8903,51,1,0,1
266,0.55814,0.184782,0.05,19.9274,51,1,0,1
267,0.55814,0.18409,0.05,19.9274,51,1,0,1
268,0.55814,0.183403,0.05,19.9652,51,1,0,1
269,0.568182,0.190335,0.05,19.9652,52,1,0,1
270,0.568182,0.18963,0.05,20.0034,52,1,0,1
