time_s,uav_id,cluster_id,sinr_db,jammed,drop_prob
118,8,1,12.2239,0,0.000237866
118,9,1,14.2169,0,1.84549e-06
118,10,2,21.5269,0,1.3702e-31
118,11,2,27.433,0,5.7377e-121
118,12,2,26.5053,0,7.69858e-98
118,13,2,19.5966,0,1.62686e-20
118,14,2,13.0588,0,4.05729e-05
120,0,0,22.2353,0,4.65819e-37
120,1,0,14.7441,0,3.35826e-07
120,2,0,12.0851,0,0.000309256
120,3,0,16.7031,0,6.85678e-11
120,4,0,24.3522,0,7.04302e-60
120,5,1,27.9999,0,9.81353e-138
120,6,1,24.2926,0,4.50599e-59
120,7,1,16.6387,0,9.67605e-11
120,8,1,12.0751,0,0.000315054
120,9,1,14.7977,0,2.79084e-07
120,10,2,22.3032,0,1.24652e-37
120,11,2,27.6912,0,2.47539e-128
120,12,2,26.0079,0,2.48183e-87
120,13,2,18.801,0,3.34173e-17
120,14,2,12.6964,0,9.11684e-05
122,0,0,21.4573,0,4.23873e-31
122,1,0,14.1682,0,2.13822e-06
122,2,0,12.2409,0,0.000230234
122,3,0,17.4472,0,8.63846e-13
122,4,0,25.0006,0,2.10415e-69
122,5,1,27.9564,0,2.27673e-136
122,6,1,23.5972,0,1.93524e-50
122,7,1,15.9307,0,3.10489e-09
122,8,1,12.0055,0,0.000358152
122,9,1,15.4304,0,2.61681e-08
122,10,2,23.0566,0,1.27457e-44
122,11,2,27.8725,0,8.96648e-134
122,12,2,25.4505,0,6.70273e-77
122,13,2,18.0173,0,1.75455e-14
122,14,2,12.407,0,0.000166082
124,0,0,20.6647,0,4.94156e-26
124,1,0,13.6507,0,9.27001e-06
124,2,0,12.4742,0,0.00014502
124,3,0,18.2169,0,3.95686e-15
124,4,0,25.599,0,1.50245e-79
124,5,1,27.8334,0,1.39647e-132
124,6,1,22.8658,0,9.80494e-43
124,7,1,15.2634,0,5.05616e-08
124,8,1,12.0158,0,0.000351492
124,9,1,16.1088,0,1.36737e-09
124,10,2,23.7794,0,1.43479e-52
124,11,2,27.9752,0,5.88159e-137
124,12,2,24.8387,0,6.85772e-67
124,13,2,17.2535,0,2.90234e-12
124,14,2,12.1934,0,0.000252171
126,0,0,19.8655,0,8.86183e-22
126,1,0,13.1965,0,2.92953e-05
126,2,0,12.7826,0,7.56598e-05
126,3,0,19.0044,0,5.42049e-18
126,4,0,26.1415,0,4.89113e-90
126,5,1,27.6322,0,1.30688e-126
126,6,1,22.1059,0,5.43671e-36
126,7,1,14.6434,0,4.72549e-07
126,8,1,12.1058,0,0.000297549
126,9,1,16.8261,0,3.50017e-11
126,10,2,24.4644,0,1.99049e-61
126,11,2,27.9982,0,1.11243e-137
126,12,2,24.1785,0,1.46866e-57
126,13,2,16.5171,0,1.82883e-10
126,14,2,12.0579,0,0.000325299
128,0,0,19.0676,0,3.02533e-18
128,1,0,12.8103,0,7.1201e-05
128,2,0,13.1632,0,3.17265e-05
128,3,0,19.8018,0,1.79481e-21
128,4,0,26.6226,0,1.68436e-100
128,5,1,27.3546,0,8.10791e-119
128,6,1,21.3248,0,3.46471e-30
128,7,1,14.077,0,2.80509e-06
128,8,1,12.2747,0,0.000215625
128,9,1,17.5751,0,3.76749e-13
128,10,2,25.1049,0,4.50774e-71
128,11,2,27.9413,0,6.75354e-136
128,12,2,23.4765,0,4.45502e-49
128,13,2,15.8155,0,5.18591e-09
128,14,2,12.0017,0,0.000360691
130,0,0,18.279,0,2.45317e-15
130,1,0,12.496,0,0.000138698
130,2,0,13.6121,0,1.02698e-05
130,3,0,20.6012,0,1.15138e-25
130,4,0,27.0376,0,1.67151e-110
130,5,1,27.0036,0,1.19643e-109
130,6,1,20.5306,0,2.90766e-25
130,7,1,13.5697,0,1.14816e-05
130,8,1,12.5208,0,0.000131808
130,9,1,18.3483,0,1.42888e-15
130,10,2,25.6943,0,2.68095e-81
130,11,2,27.805,0,1.0113e-131
130,12,2,22.7398,0,1.55816e-41
130,13,2,15.1557,0,7.63102e-08
130,14,2,12.0254,0,0.000345376
132,0,0,17.5077,0,5.85236e-13
132,1,0,12.2566,0,0.000223328
132,2,0,14.1248,0,2.43479e-06
132,3,0,21.3946,0,1.15474e-30
132,4,0,27.3822,0,1.43454e-119
132,5,1,26.5826,0,1.38286e-99
132,6,1,19.731,0,3.88504e-21
132,7,1,13.1267,0,3.46e-05
132,8,1,12.8417,0,6.64435e-05
132,9,1,19.138,0,1.56536e-18
132,10,2,26.2268,0,8.26576e-92
132,11,2,27.5908,0,2.04405e-125
132,12,2,21.9758,0,5.96767e-35
132,13,2,14.5443,0,6.56486e-07
132,14,2,12.1287,0,0.000285034
134,0,0,16.7612,0,5.00171e-11
134,1,0,12.0947,0,0.00030382
134,2,0,14.6962,0,3.95428e-07
134,3,0,22.1741,0,1.5029e-36
134,4,0,27.6531,0,3.22265e-127
134,5,1,26.0959,0,4.1938e-89
134,6,1,18.9341,0,1.02557e-17
134,7,1,12.7524,0,8.08133e-05
134,8,1,13.234,0,2.67588e-05
134,9,1,19.9363,0,3.99465e-22
134,10,2,26.6971,0,3.15939e-102
134,11,2,27.3007,0,2.32978e-117
134,12,2,21.192,0,2.67394e-29
134,13,2,13.9874,0,3.64161e-06
134,14,2,12.3108,0,0.000200977
136,0,0,16.0471,0,1.82374e-09
136,1,0,12.0117,0,0.000354161
136,2,0,15.3207,0,4.04578e-08
136,3,0,22.9318,0,2.22933e-43
136,4,0,27.8475,0,5.21464e-133
136,5,1,25.5482,0,1.23987e-78
136,6,1,18.1479,0,6.6717e-15
136,7,1,12.4504,0,0.000152172
136,8,1,13.694,0,8.25314e-06
136,9,1,20.7353,0,1.90317e-26
136,10,2,27.1005,0,4.1669e-112
136,11,2,26.9376,0,5.25616e-108
136,12,2,20.3963,0,1.62419e-24
136,13,2,13.4906,0,1.40987e-05
136,14,2,12.5696,0,0.000119151
138,0,0,15.3725,0,3.29809e-08
138,1,0,12.0085,0,0.00035623
138,2,0,15.9918,0,2.35209e-09
138,3,0,23.6603,0,3.62307e-51
138,4,0,27.9635,0,1.36879e-136
138,5,1,24.9451,0,1.56546e-68
138,6,1,17.3802,0,1.32172e-12
138,7,1,12.2239,0,0.000237866
138,8,1,14.2169,0,1.84549e-06
138,9,1,21.5269,0,1.3702e-31
138,10,2,27.433,0,5.7377e-121
138,11,2,26.5053,0,7.69858e-98
138,12,2,19.5966,0,1.62686e-20
138,13,2,13.0588,0,4.05729e-05
138,14,2,12.9027,0,5.79822e-05
140,0,0,14.7441,0,3.35826e-07
140,1,0,12.0851,0,0.000309256
140,2,0,16.7031,0,6.85678e-11
140,3,0,24.3522,0,7.04302e-60
140,4,0,27.9999,0,9.81353e-138
140,5,1,24.2926,0,4.50599e-59
140,6,1,16.6387,0,9.67605e-11
140,7,1,12.0751,0,0.000315054
140,8,1,14.7977,0,2.79084e-07
140,9,1,22.3032,0,1.24652e-37
140,10,2,27.6912,0,2.47539e-128
140,11,2,26.0079,0,2.48183e-87
140,12,2,18.801,0,3.34173e-17
140,13,2,12.6964,0,9.11684e-05
140,14,2,13.3068,0,2.24e-05
142,0,0,14.1682,0,2.13822e-06
142,1,0,12.2409,0,0.000230234
142,2,0,17.4472,0,8.63846e-13
142,3,0,25.0006,0,2.10415e-69
142,4,0,27.9564,0,2.27673e-136
142,5,1,23.5972,0,1.93524e-50
142,6,1,15.9307,0,3.10489e-09
142,7,1,12.0055,0,0.000358152
142,8,1,15.4304,0,2.61681e-08
142,9,1,23.0566,0,1.27457e-44
142,10,2,27.8725,0,8.96648e-134
142,11,2,25.4505,0,6.70273e-77
142,12,2,18.0173,0,1.75455e-14
142,13,2,12.407,0,0.000166082
142,14,2,13.7776,0,6.57268e-06
144,0,0,13.6507,0,9.27001e-06
144,1,0,12.4742,0,0.00014502
144,2,0,18.2169,0,3.95686e-15
144,3,0,25.599,0,1.50245e-79
144,4,0,27.8334,0,1.39647e-132
144,5,1,22.8658,0,9.80494e-43
144,6,1,15.2634,0,5.05616e-08
144,7,1,12.0158,0,0.000351492
144,8,1,16.1088,0,1.36737e-09
144,9,1,23.7794,0,1.43479e-52
144,10,2,27.9752,0,5.88159e-137
144,11,2,24.8387,0,6.85772e-67
144,12,2,17.2535,0,2.90234e-12
144,13,2,12.1934,0,0.000252171
144,14,2,14.3107,0,1.38349e-06
146,0,0,13.1965,0,2.92953e-05
146,1,0,12.7826,0,7.56598e-05
146,2,0,19.0044,0,5.42049e-18
146,3,0,26.1415,0,4.89113e-90
146,4,0,27.6322,0,1.30688e-126
146,5,1,22.1059,0,5.43671e-36
146,6,1,14.6434,0,4.72549e-07
146,7,1,12.1058,0,0.000297549
146,8,1,16.8261,0,3.50017e-11
