time_s,cluster_id,reason,latency_ms
123,0,COMPROMISE,0
123,1,COMPROMISE,0
123,2,COMPROMISE,0
124,0,COMPROMISE,0
124,1,COMPROMISE,0
124,2,COMPROMISE,0
125,0,COMPROMISE,0
125,1,COMPROMISE,0
125,2,COMPROMISE,0
126,0,COMPROMISE,0
126,1,COMPROMISE,0
126,2,COMPROMISE,0
127,0,COMPROMISE,0
127,1,COMPROMISE,0
127,2,COMPROMISE,0
128,0,COMPROMISE,0
128,1,COMPROMISE,0
128,2,COMPROMISE,0
129,0,COMPROMISE,0
129,1,COMPROMISE,0
129,2,COMPROMISE,0
130,0,COMPROMISE,0
130,1,COMPROMISE,0
130,2,COMPROMISE,0
131,0,COMPROMISE,0
131,1,COMPROMISE,0
131,2,COMPROMISE,0
132,0,COMPROMISE,0
132,1,COMPROMISE,0
132,2,COMPROMISE,0
133,0,COMPROMISE,0
133,1,COMPROMISE,0
133,2,COMPROMISE,0
134,0,COMPROMISE,0
134,1,COMPROMISE,0
134,2,COMPROMISE,0
135,0,COMPROMISE,0
135,1,COMPROMISE,0
135,2,COMPROMISE,0
136,0,COMPROMISE,0
136,1,COMPROMISE,0
136,2,COMPROMISE,0
137,0,COMPROMISE,0
137,1,COMPROMISE,0
137,2,COMPROMISE,0
138,0,COMPROMISE,0
138,1,COMPROMISE,0
138,2,COMPROMISE,0
139,0,COMPROMISE,0
139,1,COMPROMISE,0
139,2,COMPROMISE,0
140,0,COMPROMISE,0
140,1,COMPROMISE,0
140,2,COMPROMISE,0
141,0,COMPROMISE,0
141,1,COMPROMISE,0
141,2,COMPROMISE,0
142,0,COMPROMISE,0
142,1,COMPROMISE,0
142,2,COMPROMISE,0
143,0,COMPROMISE,0
143,1,COMPROMISE,0
143,2,COMPROMISE,0
144,0,COMPROMISE,0
144,1,COMPROMISE,0
144,2,COMPROMISE,0
145,0,COMPROMISE,0
145,1,COMPROMISE,0
145,2,COMPROMISE,0
146,0,COMPROMISE,0
146,1,COMPROMISE,0
146,2,COMPROMISE,0
147,0,COMPROMISE,0
147,1,COMPROMISE,0
147,2,COMPROMISE,0
148,0,COMPROMISE,0
148,1,COMPROMISE,0
148,2,COMPROMISE,0
149,0,COMPROMISE,0
149,1,COMPROMISE,0
149,2,COMPROMISE,0
150,0,KDC_INIT,0
150,1,KDC_INIT,0
150,2,KDC_INIT,0
150,0,COMPROMISE,0
150,1,COMPROMISE,0
150,2,COMPROMISE,0
151,0,COMPROMISE,0
151,1,COMPROMISE,0
151,2,COMPROMISE,0
152,0,COMPROMISE,0
152,1,COMPROMISE,0
152,2,COMPROMISE,0
153,0,COMPROMISE,0
153,1,COMPROMISE,0
153,2,COMPROMISE,0
154,0,COMPROMISE,0
154,1,COMPROMISE,0
154,2,COMPROMISE,0
155,0,COMPROMISE,0
155,1,COMPROMISE,0
155,2,COMPROMISE,0
156,0,COMPROMISE,0
156,1,COMPROMISE,0
156,2,COMPROMISE,0
157,0,COMPROMISE,0
157,1,COMPROMISE,0
157,2,COMPROMISE,0
158,0,COMPROMISE,0
158,1,COMPROMISE,0
158,2,COMPROMISE,0
159,0,COMPROMISE,0
159,1,COMPROMISE,0
159,2,COMPROMISE,0
160,0,COMPROMISE,0
160,1,COMPROMISE,0
160,2,COMPROMISE,0
161,0,COMPROMISE,0
161,1,COMPROMISE,0
161,2,COMPROMISE,0
162,0,COMPROMISE,0
162,1,COMPROMISE,0
162,2,COMPROMISE,0
163,0,COMPROMISE,0
163,1,COMPROMISE,0
163,2,COMPROMISE,0
164,0,COMPROMISE,0
164,1,COMPROMISE,0
164,2,COMPROMISE,0
165,0,COMPROMISE,0
165,1,COMPROMISE,0
165,2,COMPROMISE,0
166,0,COMPROMISE,0
166,1,COMPROMISE,0
166,2,COMPROMISE,0
167,0,COMPROMISE,0
167,1,COMPROMISE,0
167,2,COMPROMISE,0
168,0,COMPROMISE,0
168,1,COMPROMISE,0
168,2,COMPROMISE,0
169,0,COMPROMISE,0
169,1,COMPROMISE,0
169,2,COMPROMISE,0
170,0,COMPROMISE,0
170,1,COMPROMISE,0
170,2,COMPROMISE,0
171,0,COMPROMISE,0
171,1,COMPROMISE,0
171,2,COMPROMISE,0
172,0,COMPROMISE,0
172,1,COMPROMISE,0
172,2,COMPROMISE,0
173,0,COMPROMISE,0
173,1,COMPROMISE,0
173,2,COMPROMISE,0
174,0,COMPROMISE,0
174,1,COMPROMISE,0
174,2,COMPROMISE,0
175,0,COMPROMISE,0
175,1,COMPROMISE,0
175,2,COMPROMISE,0
176,0,COMPROMISE,0
176,1,COMPROMISE,0
176,2,COMPROMISE,0
177,0,COMPROMISE,0
177,1,COMPROMISE,0
177,2,COMPROMISE,0
178,0,COMPROMISE,0
178,1,COMPROMISE,0
178,2,COMPROMISE,0
179,0,COMPROMISE,0
179,1,COMPROMISE,0
179,2,COMPROMISE,0
